external_id,content,created_at,like_count,reply_count,quote_count,repost_count,labels
at://did:plc:clxs5bimkdx2zvxzrbs6v3pw/app.bsky.feed.post/3maqp6s5fb22m,also: arithmetic,,9,1,0,3,[]
at://did:plc:clxs5bimkdx2zvxzrbs6v3pw/app.bsky.feed.post/3maqoy55sms2m,kids: study economics,,64,4,0,9,[]
at://did:plc:xraomsuf6pvh7r2cqtdwhkvm/app.bsky.feed.post/3maqokl5dxk2i,,,10,0,0,2,[]
at://did:plc:62gdkmpwa7xme36getyqnem3/app.bsky.feed.post/3maqofykhks2f,"🤔

gosh, you watched a very different video than i did!",,1,0,0,0,[]
at://did:plc:wld6fad6xsm4tz4kfkoikun2/app.bsky.feed.post/3maqofbvv2m2k,,,4,2,0,0,[]
at://did:plc:xraomsuf6pvh7r2cqtdwhkvm/app.bsky.feed.post/3maqnqqh6r22i,fuck,,38,5,0,0,[]
at://did:plc:yh5kl53hwy7rhahgcsuyef5a/app.bsky.feed.post/3maqnocldis26,sunday for us!,,0,0,0,0,[]
at://did:plc:mzeafnu2fiz4jsuohywamioa/app.bsky.feed.post/3maqn4r5th42m,'remember what i buried!' chauffer's fiery blow up with epstein and ghislaine inside strip club was reported to fbi trib.al/ivhs1qd,,0,0,0,0,[]
at://did:plc:jbvnehrrdqoulco4rf5gxg5r/app.bsky.feed.post/3maqn3biqze24,nuggets f cameron johnson (knee) to undergo mri reut.rs/494ifdj,,3,0,0,0,[]
at://did:plc:yh5kl53hwy7rhahgcsuyef5a/app.bsky.feed.post/3maqkajn3nc2g,"stotting too, jendia?",,1,0,0,0,[]
at://did:plc:j4eroku3volozvv6ljsnnfec/app.bsky.feed.post/3maqj6t3pvs2c,,,6,2,0,8,[]
at://did:plc:j4eroku3volozvv6ljsnnfec/app.bsky.feed.post/3maqj6pqww22c,now leading huffpost:,,9,3,1,4,[]
at://did:plc:zha4tsu7otgnojc7uoxhjmkr/app.bsky.feed.post/3maqj2marrs2d,logging off til 2026. ❤️,,196,13,0,2,[]
at://did:plc:xraomsuf6pvh7r2cqtdwhkvm/app.bsky.feed.post/3maqij6flis2v,,,39,2,0,0,[]
at://did:plc:yc54nj2zlnqrdotewpkbrauy/app.bsky.feed.post/3maqieqpjys2e,a blast in gaza wounds a soldier and israel accuses hamas of ceasefire violation,,4,1,0,0,[]
at://did:plc:jbvnehrrdqoulco4rf5gxg5r/app.bsky.feed.post/3maqh734acj2c,solgold agrees to $1.2 billion takeover by top investor jiangxi copper reut.rs/48tmanh,,2,0,0,0,[]
at://did:plc:yc54nj2zlnqrdotewpkbrauy/app.bsky.feed.post/3maqfnzvvhr2p,how a fast-moving $50 cash relief program buoyed needy families when snap payments were paused,,7,0,0,2,[]
at://did:plc:d2jith367s6ybc3ldsusgdae/app.bsky.feed.post/3maqfkwr3ba2x,socal agave owners have been hacked. what are thieves doing with those filched leaves?,,9,1,0,1,[]
at://did:plc:wld6fad6xsm4tz4kfkoikun2/app.bsky.feed.post/3maqezdfsud2u,,,15,0,0,7,[]
at://did:plc:wld6fad6xsm4tz4kfkoikun2/app.bsky.feed.post/3maqdbny2qk2k,,,12,0,0,2,[]
at://did:plc:vovinwhtulbsx4mwfw26r5ni/app.bsky.feed.post/3maqd3hwrpu2n,"midwife leading nottingham maternity inquiry charging nhs up to £26,000 a month",,11,8,3,6,[]
at://did:plc:mzeafnu2fiz4jsuohywamioa/app.bsky.feed.post/3maqatyrlkq26,governor of scandal-hit prison is sacked after he was filmed walking out of a brothel trib.al/swslxfp,,1,0,0,0,[]
at://did:plc:wld6fad6xsm4tz4kfkoikun2/app.bsky.feed.post/3maq7x4m3zk2u,,,20,1,2,8,[]
at://did:plc:yh5kl53hwy7rhahgcsuyef5a/app.bsky.feed.post/3maq7trn5tk2f,also variola.,,2,0,0,0,[]
at://did:plc:yh5kl53hwy7rhahgcsuyef5a/app.bsky.feed.post/3maq75jfhu22f,pseudonym.,,1,1,0,0,[]
at://did:plc:vovinwhtulbsx4mwfw26r5ni/app.bsky.feed.post/3mapzvb7xjh2w,christmas eve tv: joanna lumley is frightful in a festive ghost story,,30,0,3,4,[]
at://did:plc:jbvnehrrdqoulco4rf5gxg5r/app.bsky.feed.post/3mapwydee3n2r,bp to sell 65% stake in castrol to stonepeak for $6 billion reut.rs/3mrwj79,,4,0,0,2,[]
at://did:plc:3bybp6nqszlhuan2ch2cmv66/app.bsky.feed.post/3mapuma5cv22a,a heartwarming christmas meme…,,4,0,0,1,[]
at://did:plc:d2jith367s6ybc3ldsusgdae/app.bsky.feed.post/3mapvlm2tah2j,"rose parade float has a firefighter, pancakes, syrup: here's why some people were upset",,3,2,0,1,[]
at://did:plc:yc54nj2zlnqrdotewpkbrauy/app.bsky.feed.post/3mapvg5mlzw24,starmer urges britons to ‘reach out’ to each other over christmas,,10,0,1,3,[]
at://did:plc:jbvnehrrdqoulco4rf5gxg5r/app.bsky.feed.post/3mapuzs5nrw2i,hall of famer masashi 'jumbo' ozaki dies at 78 reut.rs/49a9uro,,5,0,0,2,[]
at://did:plc:jbvnehrrdqoulco4rf5gxg5r/app.bsky.feed.post/3mapu6vmr4z2r,trump's recall of ambassadors compounds staffing problems at posts in africa reut.rs/4sdikns,,17,1,0,10,[]
at://did:plc:mzeafnu2fiz4jsuohywamioa/app.bsky.feed.post/3mapsluxz3g2c,glamorous drunken democrat told cops 'you know who i am?' before being arrested trib.al/i9x0qc8,,0,0,0,0,[]
at://did:plc:uewxgchsjy4kmtu7dcxa77us/app.bsky.feed.post/3mapsanpai32u,billions of bacteria-infected mosquitoes are being weaponized by cities,,27,3,2,8,[]
at://did:plc:mzeafnu2fiz4jsuohywamioa/app.bsky.feed.post/3maprsifr2z2m,epstein docs bombshell exposes 10 possible coconspirators as redacted docs reveal late pedophile's sinister syndicate: 'who are they protecting?' trib.al/zy4xen6,,1,1,0,0,[]
at://did:plc:jbvnehrrdqoulco4rf5gxg5r/app.bsky.feed.post/3mapppy3hca2b,wizards f cam whitemore out indefinitely with dvt reut.rs/3liqfcq,,1,0,0,0,[]
at://did:plc:xraomsuf6pvh7r2cqtdwhkvm/app.bsky.feed.post/3mapne33eic2c,,,54,0,0,3,[]
at://did:plc:mzeafnu2fiz4jsuohywamioa/app.bsky.feed.post/3mapn55ru7s2c,nine people dead after mass shooting at pub near johannesburg trib.al/o4ompdk,,0,0,0,0,[]
at://did:plc:l5ubox2264vtrpl2lla2drdf/app.bsky.feed.post/3maplkg5sdk26,* asking for a friend,,3,0,0,0,[]
at://did:plc:l5ubox2264vtrpl2lla2drdf/app.bsky.feed.post/3mapl5mxeu22z,😈,,1,1,0,0,[]
at://did:plc:l5ubox2264vtrpl2lla2drdf/app.bsky.feed.post/3mapl2q6cdlwg,okay ⏎,,0,0,0,0,[]
at://did:plc:jbvnehrrdqoulco4rf5gxg5r/app.bsky.feed.post/3mapkxz5iji2b,martha stewart joins snoop dogg as swansea minority co-owner reut.rs/4qt5slc,,20,7,3,1,[]
at://did:plc:l5ubox2264vtrpl2lla2drdf/app.bsky.feed.post/3mapksjjb2rzy,what is this?,,0,1,0,0,[]
at://did:plc:62gdkmpwa7xme36getyqnem3/app.bsky.feed.post/3mapk4i7wgc2c,ughhhhh,,188,0,1,0,[]
at://did:plc:mzeafnu2fiz4jsuohywamioa/app.bsky.feed.post/3mapjmjarjp2j,"kerry washington, 48, declared 'ageless' as she reveals how exactly she maintains her fit figure trib.al/gulrnot",,2,0,0,1,[]
at://did:plc:y7xqgguq6uiaor4rzlwbvslk/app.bsky.feed.post/3maphjktttc2r,bsky.app/profile/mzin...,,0,0,0,0,[]
at://did:plc:xraomsuf6pvh7r2cqtdwhkvm/app.bsky.feed.post/3maphaca3is2i,transpo-cels are seething,,67,6,0,3,[]
at://did:plc:jbvnehrrdqoulco4rf5gxg5r/app.bsky.feed.post/3maph2u6b6r2y,brooks koepka parts ways with liv golf reut.rs/4psybei,,10,1,1,1,[]
at://did:plc:jbvnehrrdqoulco4rf5gxg5r/app.bsky.feed.post/3mapgjsgsgq2x,cubs reach deal with reliever jacob webb reut.rs/49h253s,,6,0,0,0,[]
at://did:plc:62gdkmpwa7xme36getyqnem3/app.bsky.feed.post/3mapetna3gk2c,incredible!,,4,1,0,0,[]
at://did:plc:62gdkmpwa7xme36getyqnem3/app.bsky.feed.post/3mapejjur6c2c,😮,,6,1,0,0,[]
at://did:plc:jbvnehrrdqoulco4rf5gxg5r/app.bsky.feed.post/3mapbzs6gl62p,scottish rider onley signs for ineos grenadiers reut.rs/4sjhye3,,5,0,0,0,[]
at://did:plc:bd4jsw5jphamhymzjrvjj23u/app.bsky.feed.post/3mapbbswkk22j,just got brutally owned by my nephew,,64,4,0,1,[]
at://did:plc:xraomsuf6pvh7r2cqtdwhkvm/app.bsky.feed.post/3mapajey4rc2j,,,87,7,1,2,[]
at://did:plc:jbvnehrrdqoulco4rf5gxg5r/app.bsky.feed.post/3map7spp6bi2y,"lockheed martin aircraft-related contract upped by $10 billion, pentagon says reut.rs/496h5vz",,16,2,1,10,[]
at://did:plc:d2jith367s6ybc3ldsusgdae/app.bsky.feed.post/3map7ql3i4w2j,mick cronin tinkers with lineup during ucla's rout of uc riverside,,3,0,0,1,[]
at://did:plc:jbvnehrrdqoulco4rf5gxg5r/app.bsky.feed.post/3map6olje372b,"boeing awarded $2 billion engine replacement order, pentagon says reut.rs/3l6cnl9",,21,2,0,8,[]
at://did:plc:yc54nj2zlnqrdotewpkbrauy/app.bsky.feed.post/3map5nvz24v23,kevin o’leary blames u.s.-canada tensions as jim beam distillery closes for year,,16,17,8,3,[]
at://did:plc:jbvnehrrdqoulco4rf5gxg5r/app.bsky.feed.post/3map4hmco452x,australia's monash ivf slides as consortium withdraws $209 million buyout bid reut.rs/3mxvf6k,,3,0,0,1,[]
at://did:plc:yc54nj2zlnqrdotewpkbrauy/app.bsky.feed.post/3map465agpi24,mtg says ‘only evil people’ would protect epstein as docs reveal co-conspirators,,67,5,3,16,[]
at://did:plc:jfhpnnst6flqway4eaeqzj2a/app.bsky.feed.post/3map34uxrkk2b,maybe depends when you click in if we’ve congealed,,1,0,0,0,[]
